,Park Code,Park Name,State,Acres,Latitude,Longitude,Species_ID_nunique,Category_nunique,Order_nunique,Family_nunique,Scientific Name_nunique,Common Names_nunique,Record Status_nunique,Occurrence_nunique,Nativeness_nunique,Abundance_nunique,Seasonality_nunique,Conservation Status_nunique,Species_ID_Rare,Species_ID_Endangered,Species_ID_Native
0,ACAD,Acadia National Park,ME,47390,44.35,-68.21,1709,6,86,231,1709,1605,3,5,4,7,4,5,141,3,1189
1,ARCH,Arches National Park,UT,76519,38.68,-109.57,1048,6,62,166,1048,1036,2,4,3,6,4,5,132,2,939
2,BADL,Badlands National Park,SD,242756,43.75,-102.5,1389,10,88,219,1388,1031,3,6,4,7,5,5,38,2,779
3,BIBE,Big Bend National Park,TX,801163,29.25,-103.25,2269,7,90,258,2269,2144,2,3,3,6,4,5,154,11,2108
4,BISC,Biscayne National Park,FL,172924,25.65,-80.08,1726,8,116,361,1725,1605,3,6,4,6,5,6,389,12,751
5,BLCA,Black Canyon of the Gunnison National Park,CO,32950,38.57,-107.72,1106,6,63,169,1106,1087,1,4,3,6,4,5,52,2,975
6,BRCA,Bryce Canyon National Park,UT,35835,37.57,-112.18,1286,6,59,162,1286,1272,2,4,3,6,4,4,102,2,1186
7,CANY,Canyonlands National Park,UT,337598,38.2,-109.93,1223,6,71,180,1223,1207,1,4,2,6,4,4,155,7,1103
8,CARE,Capitol Reef National Park,UT,241904,38.2,-111.17,1566,6,68,190,1566,1548,1,4,3,6,4,4,241,6,1406
9,CAVE,Carlsbad Caverns National Park,NM,46766,32.17,-104.44,1536,6,71,199,1536,1514,2,4,3,3,4,6,0,4,1398
10,CHIS,Channel Islands National Park,CA,249561,34.01,-119.42,1885,13,165,420,1885,1622,2,3,2,6,4,5,368,24,1631
11,CONG,Congaree National Park,SC,26546,33.78,-80.78,2321,14,165,497,2320,1523,2,4,3,6,4,5,183,4,1156
12,CRLA,Crater Lake National Park,OR,183224,42.94,-122.1,3760,14,202,588,3757,1870,2,5,3,6,4,6,42,4,1350
13,CUVA,Cuyahoga Valley National Park,OH,32950,41.24,-81.55,1941,11,116,319,1938,1663,2,5,3,6,4,6,364,1,1598
14,DENA,Denali National Park and Preserve,AK,3372402,63.33,-150.5,1320,9,86,198,1320,1078,2,5,3,6,3,3,181,0,1030
15,DEVA,Death Valley National Park,"CA, NV",4740912,36.24,-116.82,4439,14,171,472,4437,2687,3,6,4,7,7,6,177,24,1592
16,DRTO,Dry Tortugas National Park,FL,64701,24.63,-82.87,848,6,76,212,848,822,2,4,3,6,4,5,78,5,363
17,EVER,Everglades National Park,FL,1508538,25.32,-80.93,2084,6,124,393,2084,1985,4,6,4,7,7,9,682,16,1463
18,GAAR,Gates Of The Arctic National Park and Preserve,AK,7523898,67.78,-153.3,1353,6,70,168,1351,800,2,3,2,6,4,1,2,0,870
19,GLAC,Glacier National Park,MT,1013572,48.8,-114,2556,13,125,326,2556,1863,2,5,3,6,4,4,316,0,2180
20,GLBA,Glacier Bay National Park and Preserve,AK,3224840,58.5,-137,1957,14,185,432,1957,1635,2,5,3,6,4,5,264,9,1343
21,GRBA,Great Basin National Park,NV,77180,38.98,-114.3,2653,13,111,328,2651,1766,2,5,3,6,4,5,81,2,1083
22,GRCA,Grand Canyon National Park,AZ,1217403,36.06,-112.14,2622,10,88,264,2621,2351,2,5,3,6,19,5,88,11,2343
23,GRSA,Great Sand Dunes National Park and Preserve,CO,42984,37.73,-105.51,952,8,62,164,952,936,41,5,4,8,7,5,351,0,860
24,GRSM,Great Smoky Mountains National Park,"TN, NC",521490,35.68,-83.53,6623,13,201,723,6616,3382,2,5,3,6,4,5,1190,13,2632
25,GRTE,Grand Teton National Park,WY,309995,43.73,-110.8,2030,13,85,237,2028,1665,4,6,4,8,5,5,173,3,1582
26,GUMO,Guadalupe Mountains National Park,TX,86416,31.92,-104.87,1746,13,103,284,1746,1615,2,4,3,6,3,6,3,2,1590
27,HALE,Haleakala National Park,HI,29094,20.72,-156.17,2580,13,143,497,2580,1085,2,5,3,6,4,4,247,40,1342
28,HAVO,Hawaii Volcanoes National Park,HI,323431,19.38,-155.2,3298,13,179,614,3298,1309,1,5,3,6,4,5,331,44,1842
29,HOSP,Hot Springs National Park,AR,5550,34.51,-93.05,1950,12,138,328,1950,1636,2,5,3,6,3,5,86,4,1155
30,ISRO,Isle Royale National Park,MI,571790,48.1,-88.55,1397,9,88,215,1397,1352,2,5,3,6,4,5,224,2,1189
31,JOTR,Joshua Tree National Park,CA,789745,33.79,-115.9,2294,12,104,294,2293,1503,2,5,3,6,4,5,90,6,1238
32,KATM,Katmai National Park and Preserve,AK,3674530,58.5,-155,1225,11,103,221,1223,993,2,4,3,6,4,4,86,6,995
33,KEFJ,Kenai Fjords National Park,AK,669983,59.92,-149.65,1057,9,90,197,1055,980,2,4,3,6,4,4,77,8,861
34,KOVA,Kobuk Valley National Park,AK,1750717,67.55,-159.28,1025,7,80,169,1024,659,2,2,2,6,3,2,37,0,662
35,LACL,Lake Clark National Park and Preserve,AK,2619733,60.97,-153.42,2007,10,112,257,2002,1527,2,5,3,6,4,4,60,3,1395
36,LAVO,Lassen Volcanic National Park,CA,106372,40.49,-121.51,1797,13,131,287,1797,1516,2,5,3,6,4,6,172,6,1207
37,MACA,Mammoth Cave National Park,KY,52830,37.18,-86.1,2499,11,106,298,2499,2185,2,5,3,6,3,5,39,13,1816
38,MEVE,Mesa Verde National Park,CO,52122,37.18,-108.49,1243,5,63,173,1243,1220,2,5,2,6,4,5,50,6,1101
39,MORA,Mount Rainier National Park,WA,235625,46.85,-121.75,1743,9,107,249,1743,1429,5,5,4,7,6,4,276,1,1129
