Park Name,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Yosemite National Park,2022,"135,899","167,905","189,494","279,586","380,859","468,832","386,314","507,923",,,,,"2,516,812"
Yosemite National Park,2021,"67,284","128,222","159,906","257,158","348,006","429,980","509,874","432,038","356,030","284,611","185,213","129,273","3,287,595"
Yosemite National Park,2020,"132,742","167,778","92,324",0,0,"236,534","501,068","375,226","258,561","249,827","136,799","117,454","2,268,313"
Yosemite National Park,2019,"116,746","111,665","173,610","297,207","393,004","496,625","717,462","703,153","584,664","448,939","230,598","149,188","4,422,861"
Yosemite National Park,2018,"129,432","143,321","170,681","278,349","385,670","543,690","504,230","441,867","524,387","360,776","215,854","311,179","4,009,436"
Yosemite National Park,2017,"120,025","119,421","166,793","302,553","471,844","565,702","633,351","615,892","566,279","429,827","217,927","127,276","4,336,890"
Yosemite National Park,2016,"139,780","201,601","286,990","305,092","457,309","703,614","780,728","692,450","598,428","483,232","218,998","160,646","5,028,868"
Yosemite National Park,2015,"128,318","135,316","194,667","281,328","408,121","545,231","626,009","636,936","527,402","357,223","169,425","140,241","4,150,217"
Yosemite National Park,2014,"112,133","113,403","146,750","242,722","333,308","496,363","623,663","654,157","467,205","354,769","203,678","134,491","3,882,642"
Yosemite National Park,2013,"103,910","114,440","165,409","231,178","370,422","508,941","611,538","552,137","460,855","279,526","161,356","131,479","3,691,191"
Yosemite National Park,2012,"120,496","113,341","136,687","243,102","356,500","528,186","623,101","660,118","482,004","322,687","141,868","125,314","3,853,404"
Yosemite National Park,2011,"100,718","93,588","100,433","231,372","356,588","503,741","704,553","699,749","533,502","360,449","139,079","127,621","3,951,393"
Yosemite National Park,2010,"96,089","100,379","149,651","224,461","382,414","521,059","643,566","659,857","520,210","356,370","148,459","98,893","3,901,408"
Yosemite National Park,2009,"101,984","78,795","132,711","230,828","399,683","483,382","586,591","643,300","471,530","346,826","151,297","110,545","3,737,472"
Yosemite National Park,2008,"95,124","107,729","153,735","199,592","361,193","473,186","539,874","543,799","416,918","295,547","146,838","97,979","3,431,514"
Yosemite National Park,2007,"99,892","100,941","135,925","219,854","374,184","466,054","543,235","550,172","417,882","298,122","178,846","118,321","3,503,428"
Yosemite National Park,2006,"104,591","101,194","125,556","189,472","309,387","382,972","510,932","528,254","421,502","298,771","165,499","104,514","3,242,644"
Yosemite National Park,2005,"91,238","103,756","143,335","195,385","304,552","413,124","554,567","485,643","430,134","318,508","152,671","111,231","3,304,144"
Yosemite National Park,2004,"100,020","106,258","146,876","228,212","326,017","449,566","531,864","508,094","393,437","272,200","121,622","96,745","3,280,911"
Yosemite National Park,2003,"116,984","111,506","137,550","174,337","280,335","445,887","536,683","604,093","405,605","316,366","136,390","112,928","3,378,664"
